test_resource,test_name,server,port
"RTP_cisco","RTP.cisco","rtp-vpn-cluster.cisco.com",443
"Richardson_cisco","Richardson.cisco","rcdn-vpn-cluster.cisco.com",443
"SanJose_cisco","SanJose.cisco","sjc-vpn-cluster.cisco.com",443
"Amsterdam_cisco","Amsterdam.cisco","ams-vpn-cluster.cisco.com",443
"Tokyo_cisco","Tokyo.cisco","tky-vpn-cluster.cisco.com",443
"Shanghai_cisco","Shanghai.cisco","shanghai-vpn-cluster.cisco.com",443
"Bangalore_cisco","Bangalore.cisco","bangalore-vpn-cluster.cisco.com",443
"toparpa_descubre","toparpa.descubre","toparpa.descubre.app",1194
"cary_descubre","cary.descubre","cary.descubre.app",1194
