agent_id,agent_name,agent_country,agent_location
66222,"Lima, Peru","PE","Lima, Peru"
946241,"Lima, Peru (AWS Local Zone)","PE","Lima, Peru"
1319574,"Lima, Peru (Claro)","PE","Lima, Peru"
63438,"Mexico City, Mexico","MX","Mexico City, Mexico"
1302649,"Mexico City, Mexico (TelMex)","MX","Mexico City, Mexico"
8230,"Santiago, Chile","CL","Santiago Metropolitan, Chile"
600161,"Santiago, Chile (GCP southamerica-west1)","CL","Santiago Metropolitan, Chile"
946231,"Santiago, Chile (AWS Local Zone)","CL","Santiago Metropolitan, Chile"
